SampleID	Act_Actinobaculum.	Act_Actinomyces.	Aer_Abiotrophia.	Bac_unclassified_Bacteroidaceae.	Bur_Lautropia.	Cam_Campylobacter.	Car_Cardiobacterium.	Car_Granulicatella.	Clo_Parvimonas.	Com_unclassified_Comamonadaceae.	Cor_Corynebacterium.	Eub_Eubacterium.	Fla_Bergeyella.	Fla_Capnocytophaga.	Fus_Fusobacterium.	Fus_Leptotrichia.	Lac_Catonella.	Lac_Uncultured_Lachnospiraceae.	Mic_Rothia.	Mor_Acinetobacter.	Mor_Moraxella.	Nei_Eikenella.	Nei_Kingella.	Nei_Neisseria.	Pas_Aggregatibacter.	Pas_Haemophilus.	Pep_Filifactor.	Pep_Peptococcus.	Pep_Peptostreptococcus.	Por_Porphyromonas.	Por_Tannerella.	Pre_Prevotella.	Pro_Propionibacterium.	Spi_Treponema.	SR1_SR1.	Sta_Gemella.	Str_Streptococcus.	Syn_Synergistes.	TM7_TM7.	Vei_Dialister.	Vei_Megasphaera.	Vei_Selenomonas.	Vei_Veillonella.	Vei_Veillonellaceae.
L5065_3	0	0.00202122	0.0106432	0.000763257	0.0108128	0.00826862	0.000381628	0.0122969	7.07E-05	0	0.00173853	0.000296822	0.0013993	0.375968	0.0510781	0.0777674	0.000678451	0.0142051	0.00356187	0	0.00987994	0.000169613	0.000381628	0.110132	0.00190107	0.015251	0	0.000275621	0.000169613	0.110768	0.000339225	0.0180425	0.000169613	0.000551241	0.0534704	0.0013145	0.0775617	0.000169613	0.00207775	0	0	0.000180213	0.0246786	0
L5065_7	0	0.00507325	0.00774823	0.00624602	0.00715525	0.0100806	0.000711572	0.00612743	0.000276723	0.000118595	0.00579141	0.00122549	0.00100806	0.109788	0.0507983	0.306174	0.00126502	0.00865746	0.000830167	0	0.0669668	0.000355786	0.000474381	0.0353177	0.00831485	0.0415677	0.000118595	0.00245097	0.000355786	0.112112	0.00312301	0.0878693	7.91E-05	0.00203589	0.00664134	0.000513913	0.0401149	0.000237191	0.0113456	7.91E-05	0	0.00175916	0.045422	0.000118595
L5085_0	0.000480239	0.250591	0.000107516	0.00262339	0.0742506	0.00516077	0.00550483	0.00488123	7.88E-05	0.000344052	0.0196432	0.000150523	0.0152673	0.135486	0.0123894	0.0541021	0.000860129	0.00169875	0.0317818	0	0	0.000903136	0.0423614	0.0749753	0.00105366	0.0313087	0	0.00026879	0.000516077	0.00864967	0.00562309	0.0480586	0.000967645	0.000892384	0.00208581	0.000186361	0.0859681	0	0.033244	0.000179194	6.45E-05	0.00563922	0.039953	0.000107516
L5085_1	0.000241043	0.0775732	0.000361564	0.000382833	0.0611469	0.00735889	0.000957081	0.0129312	0.000262311	0.000106342	0.0118359	0.000361564	0.00710367	0.258534	0.0200711	0.0158663	0.000297759	0.00136118	0.00710367	0	0	0.00142499	0.0331363	0.0908589	0.000974805	0.042108	0	5.32E-05	0.000319027	0.174221	0.000212685	0.0243524	0.000446638	0.000574249	0.00097835	0.00325408	0.0326719	4.25E-05	0.00261602	1.42E-05	0	0.000531712	0.105981	0
L5085_14	0	0.00806072	0.00335397	0.0639938	0.00264964	0.0159649	0.0127116	0.002113	2.24E-05	0.000436017	0.0171891	0.000939113	0.00355521	0.0621441	0.0277457	0.41928	0.00114035	0.00687564	0.000335397	0	0	0.043501	0.0205599	0.0246668	0.00725576	0.00135277	0	0.000385707	6.71E-05	0.0206186	0.00362229	0.117632	6.71E-05	0.000251548	0	6.71E-05	0.0196599	6.71E-05	0.0557766	0	0	0.0117557	0.023243	0
L5085_21b	0.000125149	0.0150358	0.000214542	0.00622171	0.039583	0.0337367	0.00777714	0.00375448	0.000321813	0.0104053	0.018826	0.00144816	0.00560491	0.22396	0.0345564	0.190299	0.00230632	0.0025745	0.00107271	0	0	0.00235996	0.0115853	0.0655908	0.00990468	0.0161639	0	0.00533673	0.00128725	0.0429352	0.00399584	0.0728101	0.0024136	0.00335222	0.00439811	0.000643626	0.0141857	0.000804532	0.0838859	0.000411205	0	0.018464	0.0362039	0.000750896
L5085_28	0	0.00448765	0.00708576	0.0483082	0	0.0231746	0.00137547	0.000541852	0	8.34E-05	0.033699	0.000541852	0.00212573	0.113672	0.0368459	0.346535	0.00125043	0.00929485	0.000208405	0	0	0.00550188	0.00404305	0.0269571	0.00203542	0.000354288	0	0.00122959	0.000416809	0.0019069	0.0231954	0.146832	0.000750257	0.0018548	0.000375128	0	0.0074852	8.34E-05	0.0839871	0	0.000125043	0.0399929	0.0144633	0.000416809
L5085_3	7.66E-05	0.0132677	0.00344615	0.000172307	0.0405497	0.0130379	0.00132102	0.00804101	9.57E-05	0.000172307	0.0164266	0.000402051	0.00333128	0.251462	0.0555883	0.0869003	0.00172307	0.0062605	0.00109128	0	0	0.00183795	0.0129231	0.141393	0.0095822	0.0110372	0	0.00112	0.000516922	0.163936	0.000344615	0.0319343	0.000344615	0.000258461	0.00246974	0.00327384	0.0407229	0	0.0144164	0	0	0.000918973	0.0564019	0
L5085_7	0.000232844	0.0441317	0.00298041	0.00079167	0.0145295	0.0162991	0.00218874	0.00363237	9.31E-05	0.00218874	0.0150185	0.000232844	0.000884808	0.0876542	0.00559602	0.553704	0.000558826	0.00405149	0.000838239	0	0	0.000605395	0.00377208	0.0244603	0.00344609	0.000799432	0	0.0010478	0.000139707	0.00847553	0.000721817	0.0330872	0.000372551	4.66E-05	0.0013505	0.00119527	0.0254964	0	0.0759538	3.10E-05	0.000139707	0.00613545	0.0545787	9.31E-05
L5092_0	0.00058803	0.0931177	0	0.00233252	0.0922618	0.00817361	0.0204046	0.00433182	0.00012414	0.0100749	0.0153182	0.000470424	0.00638012	0.270647	0.034519	0.124897	0.000352818	0.00450823	0.0243052	0	0	0.00294015	0.0132503	0.0513957	0.00757251	0.0410053	0	0.00249913	0.000352818	0.0442002	0.00343017	0.0360658	0.0019013	0.000382219	0.00111726	0.00232598	0.0306164	0	0.0358306	4.57E-05	0	0.00654673	0.00493945	9.80E-05
L5092_1	0.000223265	0.0292653	0	0.00059929	0.146967	0.00437129	0.00800228	0.00645118	7.05E-05	0.00327847	0.00366624	0.000246766	0.0041774	0.408034	0.03773	0.0681075	0.00059929	0.0030317	0.0089541	0	0	0.00144535	0.0109635	0.0511723	0.00246179	0.0630195	0	0.000334897	0	0.0454755	0.000863683	0.0159341	0.0022209	0	0.00215039	0.00178612	0.0380091	0	0.00941238	0	0	0.00200938	0.0174499	0
L5092_14	0.00107132	0.019209	0.00156961	0.00627843	0.0229649	0.0132296	0.0150608	0.0052694	0.000118343	0.0289443	0.0466678	0.00108378	0.00228901	0.254417	0.0550911	0.23774	0.000859547	0.00919342	0.00287761	0	0	0.0050078	0.00371848	0.0332084	0.0110776	0.00367799	0	0.00120523	0.000392402	0.0622424	0.00613829	0.0495781	0.00489568	0.000532546	0.00409219	0.00379945	0.0164557	3.74E-05	0.0546186	1.87E-05	0	0.00899722	0.00390533	0.000130801
L5092_21b	0.00058478	0.0138411	0	0.00344033	0.0175662	0.024219	0.0187965	0.00234671	8.35E-05	0.016108	0.0265771	0.000227836	0.00300744	0.262144	0.0305642	0.266774	0.000136702	0.00776922	0.00963748	0	0	0.00195939	0.00321249	0.0650587	0.00677813	0.00652751	0	0.000558199	0.000364538	0.0661409	0.00614019	0.0216046	0.00621993	0.000546807	0.000432889	0.00110121	0.0146541	9.11E-05	0.0778973	6.84E-05	0	0.00903941	0.00558199	0.000182269
L5092_28	0.00176572	0.0116319	0.00622553	0.00212979	0.0216255	0.0175298	0.00540638	0.00699007	0.000127423	0.0197142	0.0411759	0.000655319	0.00286702	0.300508	0.0438927	0.263602	0.000491489	0.00682624	0.00354965	0	0.00010922	0.00196596	0.00289433	0.0415254	0.0217803	0.0149085	0	0.00193865	0.00016383	0.0451078	0.00447802	0.0254209	0.00360426	0.00038227	0.00742695	0.00846454	0.0221161	0	0.0296532	5.46E-05	0	0.00588422	0.00431419	0
L5092_3	5.86E-05	0.00328257	0.00214539	0.000211022	0.0357683	0.00822987	0.00161784	0.00147716	9.38E-05	0.0028488	0.00277846	0.000140682	0.0004748	0.536241	0.0509132	0.258115	0.000457215	0.00175852	0.00196954	0	0	0.000492385	0.00302465	0.0106197	0.000926153	0.00519935	0	0.00281363	0	0.0142792	0.000650652	0.00401822	0.000984771	0	0.0250061	0.000551003	0.00416769	0	0.0135054	0	0	0.000149474	0.00432596	0
L5092_7	0.00027564	0.00867922	0.0181095	0.0031423	0.0566647	0.0231744	0.00297691	0.00477546	0.000268749	0.0123625	0.0171172	0.000578844	0.00376249	0.302529	0.104383	0.214896	0.00121971	0.00655334	0.00128173	0	0	0.00235672	0.00661536	0.028352	0.00574709	0.00525921	0	0.00506489	0.000454806	0.0315057	0.00477546	0.0325341	0.00202595	0.000392787	0.0188951	0.00402434	0.0111307	0	0.0293143	3.45E-05	0	0.00471861	0.0213759	0
L5114_0	0.00026926	0.00691662	0	0.00196896	0.0291306	0.0118138	0.00307966	0.00080778	5.05E-05	0.00282723	0.0286762	0.000757294	0.00113594	0.487564	0.0531932	0.183871	0.00106021	0.00413987	0.0456396	0	0.000100973	0.000454376	0.00272626	0.0196341	0.00129581	0.0153983	0	0.000732051	0.000555349	0.0131769	0.000782537	0.0161304	0.00585641	0.000378647	0.0066137	0.00040389	0.0176702	0.000201945	0.0328666	0	0	0.000252431	0.000706808	0
